srno,name,link,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-16,2024-10-24
21,"Apple 2024 MacBook Air 15″ Laptop with M3 chip: 38.91 cm (15.3″) Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight",https://www.amazon.in/Apple-2024-MacBook-Laptop-chip/dp/B0CX243LQK/ref=sr_1_1?crid=1QNB7VY2EBH0Q&dib=eyJ2IjoiMSJ9.eenOQjJkHR7nWjpWX2b4TfE_LTcKTKFngKCFv7SxkcoxDO5ldGS-KqdSizE3Qy5KLl7AZSjff1bMUEdQgiWSRZ1CdiFlNSr0ZhdJ5P4wKPr6-VvtWuPb1EsYuoGCdhDe8J79ixpMkH1TNAk_0ThckHNEbfVI4TF0hfomJjk9gJoC9PYxcIqEPjdO2-rEie-IvlwMhTWewQKhzzBWEDK19pZbS4T4GeAYN7UfZHvY0v-yVHqLMGP0lte2DTpWN7hep770LYgS-jYbQJaz8hqRjnRoSdgS7eUY0vrrec1sH1M.jKdFAYVUsY70du6esnWLMF68396K-I6x2QfM3BKGB7A&dib_tag=se&keywords=macbook+air+m3&qid=1728205128&s=computers&sprefix=macbokk%2Ccomputers%2C241&sr=1-1,"₹1,22,990","₹1,22,990","₹1,22,990","₹1,22,990","₹1,39,990","₹1,22,990",,,
22,"Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN",https://amazon.in/dp/B0CX8XPKWJ/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B0CX8XPKWJ&pd_rd_w=OU1iW&content-id=amzn1.sym.9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_p=9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_r=WCKR2ZRNR6Q9A2NR6P73&pd_rd_wg=MtE0D&pd_rd_r=c42885b7-da54-4b18-bdfe-726419bb7a5b&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,"₹66,190","₹66,190","₹67,940","₹67,490","₹65,240","₹65,240","₹65,240",,
23,"HP Victus Gaming Laptop,Windows 11 Home,AMD Ryzen 5 5600H,4Gb RTX 3050 Gpu,15.6-Inch (39.6 Cm),Fhd,IPS,144Hz,16Gb Ddr4,512Gb Ssd,Backlit Kb,B&O,9Ms Response Time,Dual Speakers (Blue,2.37 Kg),Fb0106Ax",https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX?pd_rd_w=fjDgC&content-id=amzn1.sym.4208c4b0-bca1-4d25-819d-4a63e3b5b520&pf_rd_p=4208c4b0-bca1-4d25-819d-4a63e3b5b520&pf_rd_r=C6R754H3N95C9A0FR4SF&pd_rd_wg=FVMMg&pd_rd_r=ee2ed436-232f-4d9b-bb7b-63de62f946d0&pd_rd_i=B0BWS9YNCX&ref_=pd_hp_d_btf_unk_B0BWS9YNCX,"₹60,990","₹60,990","₹60,990","₹60,990","₹60,990","₹60,990","₹60,990",,
24,"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",https://www.amazon.in/Samsung-Awesome-Storage-Nightography-Corning/dp/B0CWPBBQ3M/ref=pd_ci_mcx_pspc_dp_d_2_t_2?pd_rd_w=RaYwc&content-id=amzn1.sym.34e3d0f1-ab1c-409e-ac8e-2f078b582de2&pf_rd_p=34e3d0f1-ab1c-409e-ac8e-2f078b582de2&pf_rd_r=Z1J4FD57NPRAWMFX7DGN&pd_rd_wg=RT8sY&pd_rd_r=3928398d-f430-4ee7-8e3f-3dfe929d2b77&pd_rd_i=B0CWPBBQ3M,"₹42,999","₹42,999","₹42,990","₹42,999","₹42,999","₹42,999","₹42,999",,
25,"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 256GB Storage)",https://www.amazon.in/Samsung-Galaxy-Smartphone-Graphite-Storage/dp/B0DHLCHL7M/ref=sr_1_1_sspa?crid=1LLV8R5YA9S03&dib=eyJ2IjoiMSJ9.og2vUiHS9BQspc_tPPwq9zHQDQSmKY0LCrvwUIRwOLap3XFsvpk9MaS_fEZpFcif3es_kgB_c_o6FYVQCXSPEuzkF35tYY2SJFUoxDp-1FjNHOivr1zakwqOzO6cJadDoVNK7__4AA0Y1YTM_DDKXqy0uVicZnDRx5IYzsauwBJ6AH_4JLVYnYnRKOV3fMO21okVUcz80Q7dOD1Q8WGmCBDNxhQNeQwPm5-QVpahB9g.ydnoSxK_4Rot_UCyBDc2_-S9SGAOUEfcPqMVQY-xcIY&dib_tag=se&keywords=samsung+s24+fe&nsdOptOutParam=true&qid=1728204799&sprefix=samsung+s24+fe%2Caps%2C211&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,"₹59,799","₹58,990","₹58,990","₹58,299","₹57,895","₹56,968","₹56,963",,
26,Apple iPhone 16 (128 GB) - Black,https://www.amazon.in/Apple-iPhone-16-128-GB/dp/B0DGJHBX5Y/ref=sr_1_5?crid=3UBSEHEW0ZHBQ&dib=eyJ2IjoiMSJ9.5T1ROATQZk0zz1bhpRGsxbeaUAFb3vhoyvyreX0ZJm0fzn5thwCsBXioKT2ig0pQttOAasOrrR7RItL567hihSknEtd-hh8nZM3n9TjPPKbVTT93x5SD8R1SdlXOVve1L2KWdbVH2WKJc6bvbBRWrk45OdxINfdALEpfw2j6tGcq-ZZjUU3e03NOXOle3wMhHD41UXkIcRb_97wdMKL3CMN963PvoloOtBB0HZnixYygfBZUtXxwLoMccf8iZana-0QfHaKORiKKzIGRXdFH3sp5VV42rOSO4Bo2DPfhHRM.aU18Rk5ZPRYEFrilgR9kKBToWyj-Qw_-Wz-XGTT2QBs&dib_tag=se&keywords=iphone+16&qid=1728204237&sprefix=iphone+16%2Caps%2C224&sr=8-5,"₹79,900","₹79,900","₹79,990","₹79,900","₹79,900","₹79,900","₹79,900",,
27,Casio G-Shock GM-2100-1ADR Silver Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1159,https://www.amazon.in/Casio-Analog-Digital-Gray-Dial-Watch-GM-2100-1ADR/dp/B09H3F59Q4/ref=sr_1_7?crid=E81BTEM64Y9&dib=eyJ2IjoiMSJ9.LAiPJzWsVdH2fcrfVFCh2CvyxNmvZhrI-eeasarTVnkoVx54gVr4zr-lpJ3MQd0oPKKLl7HqM6SYAYjvK6SamqRGzNnnC-LNZpQ_8BWY7vgQvxXNf0zjcmNAa7olKipdlunkF8y694TDaaLCixt0VUUWMdM5iQ2wGwIFlki9_W8IbdT7V3-BRfGbmUUwOWTmCGrJWoml-dvENqu4ahW43uKEUFF5QqPIGXsmfNJeCsRhd10PE4iB5utzWqR5Hy7EwPQ3KdBwH0NglJCLus0liyLi2udUpFNl5H7_rJjhPeE.RPXUv49gFb6hb8pvD6-71_vHkeTKVxaxGFt4llUKgGk&dib_tag=se&keywords=casioak&nsdOptOutParam=true&qid=1728492748&sprefix=casioak%2Caps%2C340&sr=8-7,,"₹15,995","₹15,995","₹15,995","₹15,995","₹15,995","₹14,396",,
28,"Kingone Upgraded Stylus Pen,Ipad Pencil,Ultra High Precision&Sensitivity,Palm Rejection,Prevents False On/Off Touch,Power Display,Tilt Sensitivity,Magnetic Adsorption For Ipad 2018&Later,White",https://www.amazon.in/Upgraded-Precision-Sensitivity-Rejection-Adsorption/dp/B09KGV7WSV/ref=sr_1_3?crid=1U46DBL664GLP&dib=eyJ2IjoiMSJ9.VyXdy5p0QcSDT9gHMo2s17NlTsyodOZ69f-uCTQGCAcRzh4NMLnrO5DxYiJF35ysBy844Msa62dSGJhzC8VeplrUVDIPmybirXSexr-UsNmfJO3ppFSsV8kodMlZZuCCPk9shcEK8jSd8otPDkOCtgRoduqPc99xJG35CoCl2XE168crJ3l8OPo4iKV-u7O8EPgaqBnBDAtvQUGw7xlOUkEP3qlFewK4tCPNWtoaoVQ.TrCxYg_dLtjFE2neYidGMIzd34-IOdwm5o0MkGimFMM&dib_tag=se&keywords=apple+pencil&nsdOptOutParam=true&qid=1728570365&sprefix=apple+en%2Caps%2C347&sr=8-3,,,"₹1,339","₹1,339","₹1,339","₹1,339","₹1,339",,
29,"Samsung Galaxy Tab S9 FE 27.69 cm (10.9 inch) Display, RAM 6 GB, ROM 128 GB Expandable, S Pen in-Box, Wi-Fi, IP68 Tablet, Gray",https://www.amazon.in/dp/B0CHZ38BPP/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B0CHZ38BPP&pd_rd_w=vhB6E&content-id=amzn1.sym.9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_p=9f1cb690-f0b7-44de-b6ff-1bad1e37d3f0&pf_rd_r=SX7BCH6BXJS12DK9GC2R&pd_rd_wg=w1IMS&pd_rd_r=4036384b-48a6-4682-a422-6a589b104628&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,,,,,,,,"₹34,999",
30,Apple iPhone 15 (128 GB) - Blue,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?crid=14O9YHRK2T6YM&dib=eyJ2IjoiMSJ9.4Amcm6ymShwYf2cUNy6g8844b_EZsvdJ4sstoUQpQMe4nrBHk0q7-6xivRGXMniw1WokuXVTy6CEak1Vh-Nyya_7rrYABt_OyG384eilaUXqlZMWc5NUeqyVzM509LwSrbvGpePNuH2CS-0lyaEQvaJUhy1b-tyISY9Ag-XbUYr-fdY3MjawgLBspb4MAMQGoB6RXzV1MqBSJi4ab4FCbR7R7reVXjEQcCzc3a6Lh2YW0I7zCvzoU2Ni8HaWiKu9gPpX7IjeT7r5yEBz_LhqmunXY2m3QA0ulEgV1odwSqM.yv6ePgH-3CfIhcahDQWpJKA2ksVofJnUACAOoZsLUfU&dib_tag=se&keywords=iphone+15&qid=1728592789&s=electronics&sprefix=iphone+%2Celectronics%2C450&sr=1-3,,,,,,,,,"₹66,900"
31,"Samsung Galaxy Buds2 Pro, with Innovative AI Features, Bluetooth Truly Wireless in Ear Earbuds with Noise Cancellation (Graphite)",https://www.amazon.in/Samsung-Galaxy-Pro-Bluetooth-Cancellation/dp/B0B8YMQRFV?pd_rd_w=dvyXw&content-id=amzn1.sym.0b7b9997-4f6b-4b34-af9c-707781b704bc&pf_rd_p=0b7b9997-4f6b-4b34-af9c-707781b704bc&pf_rd_r=PJGDF1HEWBQW3WVMPTV6&pd_rd_wg=gsWKh&pd_rd_r=f05daa69-2898-4275-9827-445cafd3bf45&pd_rd_i=B0B8YMQRFV&ref_=pd_hp_d_btf_unk_B0B8YMQRFV&th=1,,,,,,,,,"₹7,749"
